Sub,Block,Trial,SoundCategory,DistractorSound,SoundLabel,SoundID,SoundAccuracy,soundRT,AversiveRating
19,0,1,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,16.32047987,0
19,0,2,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.640942812,0
19,1,1,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,14.39620304,3
19,1,2,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.86104393,0
19,1,3,Non_oral_nasal,typing3.wav,TYPING,DRIBBLING BALL,0,5.674594164,1
19,1,4,Non_oral_nasal,dribbling_ball2.wav,DRIBBLING BALL,DRIBBLING BALL,1,11.67240691,1
19,1,5,Non_oral_nasal,flipping_paper2.wav,FLIPPING PAPER,FLIPPING PAPER,1,2.889219999,1
19,1,6,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,4.491069078,1
19,1,7,Non_oral_nasal,dribbling_ball1.wav,DRIBBLING BALL,DRIBBLING BALL,1,3.193947077,1
19,1,8,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.411946058,0
19,1,9,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,3.895268917,1
19,1,10,Oral_nasal,clearing_throat1.wav,CLEARING THROAT,CLEARING THROAT,1,2.942008018,1
19,1,11,Non_oral_nasal,typing1.wav,TYPING,TYPING,1,3.536493063,0
19,1,12,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,4.207735062,1
19,1,13,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,4.090479851,1
19,1,14,Non_oral_nasal,dribbling_ball4.wav,DRIBBLING BALL,DRIBBLING BALL,1,6.127523184,1
19,1,15,Oral_nasal,chewing_gum3.wav,CHEWING GUM,CHEWING GUM,1,9.692048073,1
19,1,16,Quiet,NA,NO SOUND,NO SOUND,1,2.512427092,0
19,1,17,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,2.423087835,1
19,1,18,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,2.526656151,1
19,1,19,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,2.42827487,1
19,1,20,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.409583807,0
19,2,21,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,3.81754303,1
19,2,22,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,4.506656885,2
19,2,23,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,2.176702976,1
19,2,24,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,3.138140917,1
19,2,25,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,2.325453758,1
19,2,26,Non_oral_nasal,dribbling_ball3.wav,DRIBBLING BALL,DRIBBLING BALL,1,2.327081203,1
19,2,27,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,3.377924919,2
19,2,28,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,3.640760899,2
19,2,29,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,3.30997777,1
19,2,30,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,4.956624746,1
19,2,31,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,4.092216015,1
19,2,32,Quiet,NA,NO SOUND,NO SOUND,1,1.606565952,0
19,2,33,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,2.891278744,1
19,2,34,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,3.228332758,1
19,2,35,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,4.771180868,1
19,2,36,Oral_nasal,breathing1.wav,BREATHING,BREATHING,1,3.609644651,2
19,2,37,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.96266818,0
19,2,38,Quiet,NA,NO SOUND,NO SOUND,1,4.210438967,0
19,2,39,Oral_nasal,clearing_throat2.wav,CLEARING THROAT,CLEARING THROAT,1,2.840939045,1
19,2,40,Quiet,NA,NO SOUND,NO SOUND,1,1.557862997,0
19,3,41,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,3.026679039,2
19,3,42,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,2.823390007,2
