Sub,Block,Trial,SoundCategory,DistractorSound,SoundLabel,SoundID,SoundAccuracy,soundRT,AversiveRating
9,0,1,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,14.27820206,2
9,0,2,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,9.109426975,2
9,1,1,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,7.174879074,2
9,1,2,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,5.370782852,1
9,1,3,Quiet,NA,NO SOUND,NO SOUND,1,6.339075804,0
9,1,4,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,10.66114688,0
9,1,5,Non_oral_nasal,typing1.wav,TYPING,TYPING,1,10.85140681,1
9,1,6,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,7.161000967,2
9,1,7,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,5.045185804,0
9,1,8,Non_oral_nasal,flipping_paper2.wav,FLIPPING PAPER,FLIPPING PAPER,1,6.528119802,0
9,1,9,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,9.24642396,3
9,1,10,Non_oral_nasal,dribbling_ball2.wav,DRIBBLING BALL,DRIBBLING BALL,1,7.062689781,0
9,1,11,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,8.895284891,2
9,1,12,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,9.423785925,0
9,1,13,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,9.39227891,0
9,1,14,Oral_nasal,chewing_gum3.wav,CHEWING GUM,CHEWING GUM,1,8.293683052,1
9,1,15,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,4.884427071,0
9,1,16,Oral_nasal,clearing_throat1.wav,CLEARING THROAT,CLEARING THROAT,1,5.237785816,0
9,1,17,Quiet,NA,NO SOUND,NO SOUND,1,2.637599945,0
9,1,18,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,4.205462933,4
9,1,19,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,TYPING,0,7.12740612,1
9,1,20,Oral_nasal,breathing1.wav,BREATHING,BREATHING,1,10.01151705,2
9,2,21,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,5.378955126,3
9,2,22,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,12.64520407,1
9,2,23,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,4.141313076,1
9,2,24,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,5.477493048,2
9,2,25,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,10.22384715,2
9,2,26,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,16.92713809,1
9,2,27,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,14.27811313,1
9,2,28,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,5.161468029,0
9,2,29,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,15.373878,3
9,2,30,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,6.090748787,4
9,2,31,Non_oral_nasal,dribbling_ball4.wav,DRIBBLING BALL,DRIBBLING BALL,1,3.725361347,0
9,2,32,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,9.722177029,3
9,2,33,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,5.177091122,2
9,2,34,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,4.006182909,1
9,2,35,Quiet,NA,NO SOUND,NO SOUND,1,2.555251122,0
