Sub,Block,Trial,SoundCategory,DistractorSound,SoundLabel,SoundID,SoundAccuracy,soundRT,AversiveRating
11,0,1,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,7.476444006,0
11,0,2,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,4.774335146,0
11,1,1,Quiet,NA,NO SOUND,NO SOUND,1,3.195859909,0
11,1,2,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,11.01052284,2
11,1,3,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,5.536034822,0
11,1,4,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,6.22763896,2
11,1,5,Quiet,NA,NO SOUND,NO SOUND,1,6.025445938,0
11,1,6,Quiet,NA,NO SOUND,NO SOUND,1,2.876870871,0
11,1,7,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,4.675601959,1
11,1,8,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.771020174,0
11,1,9,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,4.29432416,0
11,1,10,Non_oral_nasal,dribbling_ball1.wav,DRIBBLING BALL,DRIBBLING BALL,1,4.772934914,0
11,1,11,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,9.093264103,0
11,1,12,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,5.191912174,0
11,1,13,Non_oral_nasal,dribbling_ball4.wav,DRIBBLING BALL,DRIBBLING BALL,1,4.737751007,0
11,1,14,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,7.987954855,3
11,1,15,Quiet,NA,NO SOUND,NO SOUND,1,4.1937778,0
11,1,16,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,3.64407897,4
11,1,17,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,4.493649006,4
11,1,18,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,5.177611828,4
11,1,19,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,4.795067072,0
11,1,20,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,4.121543169,3
11,2,21,Non_oral_nasal,flipping_paper2.wav,FLIPPING PAPER,FLIPPING PAPER,1,3.792467833,1
11,2,22,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,3.877059937,2
11,2,23,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,26.26143074,1
