Sub,Block,Trial,SoundCategory,DistractorSound,SoundLabel,SoundID,SoundAccuracy,soundRT,AversiveRating
14,0,1,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,5.418866158,0
14,0,2,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.057852745,0
14,1,1,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,9.24708724,1
14,1,2,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,14.48427892,2
14,1,3,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,5.512711048,0
14,1,4,Quiet,NA,NO SOUND,NO SOUND,1,4.357962132,0
14,1,5,Oral_nasal,clearing_throat2.wav,CLEARING THROAT,CLEARING THROAT,1,3.740526915,0
14,1,6,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,5.672537088,0
14,1,7,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,5.91734767,0
14,1,8,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,4.177139997,0
14,1,9,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,4.21142602,1
14,1,10,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,3.845529079,0
14,1,11,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,5.74156785,0
14,1,12,Oral_nasal,chewing_gum3.wav,CHEWING GUM,CHEWING GUM,1,6.006518841,0
14,1,13,Oral_nasal,breathing1.wav,BREATHING,BREATHING,1,5.632697821,0
14,1,14,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,4.50215435,0
14,1,15,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,4.163365126,1
14,1,16,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.056662083,0
14,1,17,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,5.907819033,0
14,1,18,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,6.082170725,0
14,1,19,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.226686239,0
14,1,20,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,4.209794998,1
14,2,21,Non_oral_nasal,flipping_paper2.wav,FLIPPING PAPER,FLIPPING PAPER,1,3.125625849,0
14,2,22,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,2.762326002,0
14,2,23,Non_oral_nasal,typing1.wav,TYPING,TYPING,1,7.091897964,0
14,2,24,Non_oral_nasal,dribbling_ball2.wav,DRIBBLING BALL,DRIBBLING BALL,1,6.865987062,1
14,2,25,Quiet,NA,NO SOUND,NO SOUND,1,2.26096797,0
14,2,26,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,4.538275242,0
14,2,27,Non_oral_nasal,dribbling_ball3.wav,DRIBBLING BALL,DRIBBLING BALL,1,5.494138241,0
14,2,28,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,4.846065044,1
14,2,29,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,7.061558008,0
14,2,30,Oral_nasal,clearing_throat1.wav,CLEARING THROAT,CLEARING THROAT,1,3.912731171,0
14,2,31,Quiet,NA,NO SOUND,NO SOUND,1,2.311359882,0
14,2,32,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,4.831980944,1
14,2,33,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,4.000780821,0
14,2,34,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,2.861769915,0
14,2,35,Quiet,NA,NO SOUND,NO SOUND,1,2.919089794,0
14,2,36,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,3.95546174,1
14,2,37,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,9.335547209,0
14,2,38,Non_oral_nasal,dribbling_ball4.wav,DRIBBLING BALL,DRIBBLING BALL,1,4.961417198,0
14,2,39,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,5.415193081,0
14,2,40,Non_oral_nasal,dribbling_ball1.wav,DRIBBLING BALL,DRIBBLING BALL,1,2.830505133,0
14,3,41,Oral_nasal,chewing_gum3.wav,CHEWING GUM,CHEWING GUM,1,4.064113855,0
14,3,42,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,8.895824909,1
14,3,43,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,6.42970705,0
14,3,44,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,13.93625712,0
14,3,45,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,6.686333895,0
14,3,46,Quiet,NA,NO SOUND,NO SOUND,1,3.378613949,0
14,3,47,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,4.020991802,2
14,3,48,Oral_nasal,breathing1.wav,BREATHING,BREATHING,1,5.567291975,1
14,3,49,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,5.563076973,1
14,3,50,Non_oral_nasal,dribbling_ball3.wav,DRIBBLING BALL,DRIBBLING BALL,1,4.010273933,0
14,3,51,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,2.788706779,0
14,3,52,Quiet,NA,NO SOUND,NO SOUND,1,3.330554962,0
14,3,53,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.954422951,0
14,3,54,Non_oral_nasal,typing1.wav,TYPING,TYPING,1,3.715905905,0
14,3,55,Non_oral_nasal,dribbling_ball2.wav,DRIBBLING BALL,DRIBBLING BALL,1,4.347175837,0
14,3,56,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.709780931,0
14,3,57,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,3.174157143,1
14,3,58,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.326365948,0
14,3,59,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,3.47587204,1
14,3,60,Oral_nasal,clearing_throat2.wav,CLEARING THROAT,CLEARING THROAT,1,4.403507233,0
14,4,61,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,3.311528206,1
14,4,62,Oral_nasal,clearing_throat1.wav,CLEARING THROAT,CLEARING THROAT,1,4.008008957,0
14,4,63,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,3.793805122,1
14,4,64,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,9.429092646,0
14,4,65,Quiet,NA,NO SOUND,NO SOUND,1,2.499086857,0
14,4,66,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,4.212366819,0
14,4,67,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,3.031775951,0
14,4,68,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,5.962090969,0
14,4,69,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,8.817708731,0
14,4,70,Non_oral_nasal,flipping_paper2.wav,FLIPPING PAPER,FLIPPING PAPER,1,10.94694996,0
14,4,71,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,2.764266968,1
14,4,72,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,8.631914139,0
14,4,73,Quiet,NA,NO SOUND,NO SOUND,1,2.209848166,0
14,4,74,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.310254097,0
14,4,75,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,3.816615105,0
14,4,76,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,11.30788302,1
14,4,77,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,6.100208282,1
14,4,78,Non_oral_nasal,dribbling_ball1.wav,DRIBBLING BALL,DRIBBLING BALL,1,2.78913784,0
14,4,79,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,5.028232813,1
14,4,80,Non_oral_nasal,dribbling_ball4.wav,DRIBBLING BALL,DRIBBLING BALL,1,3.162746668,0
