Sub,Block,Trial,SoundCategory,DistractorSound,SoundLabel,SoundID,SoundAccuracy,soundRT,AversiveRating
16,0,1,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,14.46880484,3
16,0,2,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.282202005,3
16,1,1,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,4.314735174,3
16,1,2,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,7.224239826,4
16,1,3,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,6.227484941,5
16,1,4,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.654384851,3
16,1,5,Non_oral_nasal,dribbling_ball1.wav,DRIBBLING BALL,DRIBBLING BALL,1,5.064913988,2
16,1,6,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.458407879,3
16,1,7,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,2.653281212,1
16,1,8,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.215419769,3
16,1,9,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,4.217247009,4
16,1,10,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,5.114264011,1
16,1,11,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,7.039117098,2
16,1,12,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,3.848100185,5
16,1,13,Quiet,NA,NO SOUND,NO SOUND,1,3.153836012,0
16,1,14,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,2.534317017,2
16,1,15,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,2.309046984,2
16,1,16,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,2.64925313,2
16,1,17,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,6.211066723,3
16,1,18,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,2.807623863,1
16,1,19,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,2.565393925,5
16,1,20,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,2.862166166,5
16,2,21,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,4.171589136,4
16,2,22,Oral_nasal,chewing_gum3.wav,CHEWING GUM,CHEWING GUM,1,2.623022795,5
