Sub,Block,Trial,SoundCategory,DistractorSound,SoundLabel,SoundID,SoundAccuracy,soundRT,AversiveRating
20,0,1,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,10.44856215,3
20,0,2,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,8.446502924,1
20,1,1,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,7.780548096,3
20,1,2,Non_oral_nasal,typing1.wav,TYPING,TYPING,1,6.395888805,0
20,1,3,Non_oral_nasal,flipping_paper2.wav,FLIPPING PAPER,FLIPPING PAPER,1,4.107872963,4
20,1,4,Non_oral_nasal,dribbling_ball2.wav,DRIBBLING BALL,DRIBBLING BALL,1,10.72806096,2
20,1,5,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,23.54352474,2
20,1,6,Oral_nasal,clearing_throat1.wav,CLEARING THROAT,CLEARING THROAT,1,3.926228046,4
20,1,7,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,3.527374029,5
20,1,8,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,6.26199317,5
20,1,9,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,3.94218874,3
20,1,10,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.108678102,1
20,1,11,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,3.489631891,3
20,1,12,Oral_nasal,breathing1.wav,BREATHING,BREATHING,1,2.754441023,5
20,1,13,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,7.566280842,1
20,1,14,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,2.804336786,5
20,1,15,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,3.991039038,4
20,1,16,Quiet,NA,NO SOUND,NO SOUND,1,3.456777096,5
20,1,17,Oral_nasal,chewing_gum3.wav,CHEWING GUM,CHEWING GUM,1,4.491058826,1
20,1,18,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.89028573,3
20,1,19,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,3.955486059,2
20,1,20,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,6.257173061,4
20,2,21,Quiet,NA,NO SOUND,NO SOUND,1,2.958947897,0
20,2,22,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,4.474720001,0
20,2,23,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,5.743274927,1
20,2,24,Oral_nasal,clearing_throat2.wav,CLEARING THROAT,CLEARING THROAT,1,4.243543863,4
20,2,25,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,4.474091053,1
20,2,26,Quiet,NA,NO SOUND,NO SOUND,1,2.295269728,0
20,2,27,Non_oral_nasal,dribbling_ball1.wav,DRIBBLING BALL,DRIBBLING BALL,1,4.924180031,1
20,2,28,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,4.922735214,0
20,2,29,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,2.591658354,0
20,2,30,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,6.472692013,0
20,2,31,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,3.540363073,3
20,2,32,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,3.97825408,5
20,2,33,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.191056013,5
20,2,34,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,3.40673399,0
20,2,35,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,6.110055208,5
20,2,36,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,2.936329842,5
20,2,37,Non_oral_nasal,dribbling_ball3.wav,DRIBBLING BALL,DRIBBLING BALL,1,3.421796083,0
20,2,38,Non_oral_nasal,dribbling_ball4.wav,DRIBBLING BALL,DRIBBLING BALL,1,2.890290022,0
20,2,39,Quiet,NA,NO SOUND,NO SOUND,1,2.196713924,0
20,2,40,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.195478201,5
20,3,41,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,5.497385979,5
20,3,42,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,2.951387882,5
20,3,43,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,6.30734992,5
20,3,44,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,2.424017906,0
20,3,45,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.492733002,5
20,3,46,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,5.473031998,3
20,3,47,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,3.15799284,5
20,3,48,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,6.613011837,2
20,3,49,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,3.691618204,4
20,3,50,Quiet,NA,NO SOUND,NO SOUND,1,2.960785866,0
20,3,51,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.038954973,0
20,3,52,Quiet,NA,NO SOUND,NO SOUND,1,2.123967886,0
20,3,53,Quiet,NA,NO SOUND,NO SOUND,1,2.379910946,0
20,3,54,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,6.038992882,3
20,3,55,Non_oral_nasal,dribbling_ball2.wav,DRIBBLING BALL,DRIBBLING BALL,1,3.421529055,1
20,3,56,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,2.808091879,0
20,3,57,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,5.456977129,2
20,3,58,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,5.250982046,0
20,3,59,Non_oral_nasal,dribbling_ball3.wav,DRIBBLING BALL,DRIBBLING BALL,1,5.757258177,3
20,3,60,Oral_nasal,clearing_throat2.wav,CLEARING THROAT,CLEARING THROAT,1,2.89147687,4
20,4,61,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,2.577686071,5
20,4,62,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,6.14173317,2
20,4,63,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,2.155313015,5
20,4,64,Oral_nasal,breathing1.wav,BREATHING,BREATHING,1,3.307927847,5
20,4,65,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,8.412297964,0
20,4,66,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,2.406735897,0
20,4,67,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,3.246747255,1
