Sub,Block,Trial,SoundCategory,DistractorSound,SoundLabel,SoundID,SoundAccuracy,soundRT,AversiveRating
8,0,1,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,12.30254507,0
8,0,2,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,8.119853258,0
8,1,1,Oral_nasal,clearing_throat1.wav,CLEARING THROAT,CLEARING THROAT,1,5.014394999,0
8,1,2,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,5.054291964,0
8,1,3,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,4.302757978,0
8,1,4,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,7.725391865,2
8,1,5,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,5.156691074,1
8,1,6,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,4.201000929,0
8,1,7,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,10.90510368,0
8,1,8,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,5.822577715,2
8,1,9,Non_oral_nasal,typing1.wav,TYPING,TYPING,1,4.098825932,0
8,1,10,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,5.542035818,0
8,1,11,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,6.534158945,3
8,1,12,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,4.35685873,1
8,1,13,Oral_nasal,chewing_gum3.wav,CHEWING GUM,CHEWING GUM,1,7.058974981,1
8,1,14,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,6.342622042,1
8,1,15,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.36132884,0
8,1,16,Non_oral_nasal,flipping_paper2.wav,FLIPPING PAPER,FLIPPING PAPER,1,3.087183952,0
8,1,17,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,3.371124029,0
8,1,18,Oral_nasal,clearing_throat2.wav,CLEARING THROAT,CLEARING THROAT,1,2.972989082,0
8,1,19,Quiet,NA,NO SOUND,NO SOUND,1,2.609412909,0
8,1,20,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,4.656368971,0
8,2,21,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,4.114384174,1
8,2,22,Quiet,NA,NO SOUND,NO SOUND,1,3.360605955,0
8,2,23,Non_oral_nasal,dribbling_ball4.wav,DRIBBLING BALL,DRIBBLING BALL,1,5.555104971,0
8,2,24,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,9.612099171,1
8,2,25,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,2.458357096,0
8,2,26,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,3.942117929,1
8,2,27,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.920393229,1
8,2,28,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,8.040446997,1
8,2,29,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,4.353918791,0
8,2,30,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,5.709372997,0
8,2,31,Non_oral_nasal,dribbling_ball3.wav,DRIBBLING BALL,DRIBBLING BALL,1,3.204211235,0
8,2,32,Non_oral_nasal,dribbling_ball2.wav,DRIBBLING BALL,DRIBBLING BALL,1,4.161421776,0
8,2,33,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,2.745236874,0
8,2,34,Quiet,NA,NO SOUND,NO SOUND,1,2.737830877,0
8,2,35,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,3.054596901,0
8,2,36,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,3.777278185,0
8,2,37,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,2.423028946,0
8,2,38,Oral_nasal,breathing1.wav,BREATHING,BREATHING,1,4.45641017,0
8,2,39,Quiet,NA,NO SOUND,NO SOUND,1,2.02814889,0
8,2,40,Non_oral_nasal,dribbling_ball1.wav,DRIBBLING BALL,DRIBBLING BALL,1,2.303673029,0
8,3,41,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,3.999315977,0
8,3,42,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,4.223387003,0
8,3,43,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,2.904932022,0
8,3,44,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,1.887384176,0
8,3,45,Non_oral_nasal,dribbling_ball4.wav,DRIBBLING BALL,DRIBBLING BALL,1,5.338477135,0
8,3,46,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,3.670648813,1
8,3,47,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,7.068568945,1
8,3,48,Non_oral_nasal,dribbling_ball1.wav,DRIBBLING BALL,DRIBBLING BALL,1,3.307806969,1
8,3,49,Quiet,NA,NO SOUND,NO SOUND,1,2.609388113,0
8,3,50,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,4.959116697,1
8,3,51,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,4.190311909,0
8,3,52,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,3.071711063,1
8,3,53,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,2.957484007,1
8,3,54,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,4.204874039,1
8,3,55,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,4.178249121,1
8,3,56,Oral_nasal,chewing_gum3.wav,CHEWING GUM,CHEWING GUM,1,2.771003246,1
8,3,57,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,2.93618679,1
8,3,58,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,3.744162083,1
8,3,59,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.252459049,1
8,3,60,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,5.221880913,1
8,4,61,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,5.266592026,1
8,4,62,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,5.525773048,1
8,4,63,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.327973127,1
8,4,64,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,4.322146654,1
8,4,65,Oral_nasal,breathing1.wav,BREATHING,BREATHING,1,8.0052948,0
8,4,66,Non_oral_nasal,dribbling_ball2.wav,DRIBBLING BALL,DRIBBLING BALL,1,2.407785892,0
8,4,67,Oral_nasal,clearing_throat2.wav,CLEARING THROAT,CLEARING THROAT,1,4.306098938,0
8,4,68,Non_oral_nasal,typing1.wav,TYPING,TYPING,1,2.662841082,0
8,4,69,Quiet,NA,NO SOUND,NO SOUND,1,2.889489889,0
8,4,70,Non_oral_nasal,flipping_paper2.wav,FLIPPING PAPER,FLIPPING PAPER,1,2.037014008,0
8,4,71,Quiet,NA,NO SOUND,NO SOUND,1,4.339266062,0
8,4,72,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,2.209568977,0
8,4,73,Non_oral_nasal,dribbling_ball3.wav,DRIBBLING BALL,DRIBBLING BALL,1,3.35544014,0
8,4,74,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.521818161,0
8,4,75,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,3.452069998,2
8,4,76,Quiet,NA,NO SOUND,NO SOUND,1,2.906229973,0
8,4,77,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,5.090609789,2
8,4,78,Oral_nasal,clearing_throat1.wav,CLEARING THROAT,CLEARING THROAT,1,6.020761967,1
8,4,79,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.573574781,0
8,4,80,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,4.320517778,0
