Sub,Block,Trial,SoundCategory,DistractorSound,SoundLabel,SoundID,SoundAccuracy,soundRT,AversiveRating
7,0,1,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,8.131036997,0
7,0,2,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,5.832572222,0
7,1,1,Non_oral_nasal,dribbling_ball2.wav,DRIBBLING BALL,DRIBBLING BALL,1,5.914963007,0
7,1,2,Quiet,NA,NO SOUND,NO SOUND,1,4.246186018,0
7,1,3,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,8.15780592,2
7,1,4,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,11.53943396,1
7,1,5,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,5.294408798,1
7,1,6,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,3.006766796,0
7,1,7,Quiet,NA,NO SOUND,NO SOUND,1,1.990379095,0
7,1,8,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,7.961596251,1
7,1,9,Oral_nasal,chewing_gum3.wav,CHEWING GUM,CHEWING GUM,1,5.091937065,4
7,1,10,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,2.657264948,0
7,1,11,Non_oral_nasal,dribbling_ball1.wav,DRIBBLING BALL,DRIBBLING BALL,1,5.272947073,0
7,1,12,Non_oral_nasal,flipping_paper2.wav,FLIPPING PAPER,FLIPPING PAPER,1,2.456043959,0
7,1,13,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,3.939805269,5
7,1,14,Oral_nasal,clearing_throat1.wav,CLEARING THROAT,CLEARING THROAT,1,4.241559982,1
7,1,15,Oral_nasal,clearing_throat2.wav,CLEARING THROAT,CLEARING THROAT,1,4.139960051,1
7,1,16,Oral_nasal,chewing_gum2.wav,CHEWING GUM,SWALLOWING,0,3.840355158,4
7,1,17,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,3.537075996,0
7,1,18,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,3.439341784,1
7,1,19,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,4.037783146,4
7,1,20,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.229223251,1
7,2,21,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,3.884916782,4
7,2,22,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,2.137390852,5
7,2,23,Oral_nasal,breathing1.wav,BREATHING,BREATHING,1,3.720637083,3
7,2,24,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,7.541460991,0
7,2,25,Quiet,NA,NO SOUND,NO SOUND,1,2.439681768,0
7,2,26,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.056797981,0
7,2,27,Non_oral_nasal,dribbling_ball3.wav,DRIBBLING BALL,DRIBBLING BALL,1,2.05597496,0
7,2,28,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,1.937801838,5
7,2,29,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,2.430511236,0
7,2,30,Quiet,NA,NO SOUND,NO SOUND,1,10.71377206,0
7,2,31,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,4.172367096,5
7,2,32,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,5.020998955,0
7,2,33,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.829903841,0
7,2,34,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,5.891407967,3
7,2,35,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,20.72673178,0
7,2,36,Non_oral_nasal,dribbling_ball4.wav,DRIBBLING BALL,DRIBBLING BALL,1,6.445741653,0
7,2,37,Non_oral_nasal,typing1.wav,TYPING,TYPING,1,31.25484109,0
7,2,38,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,2.112426758,0
7,2,39,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,3.345215082,1
7,2,40,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,3.956132174,5
7,3,41,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,2.201375961,0
7,3,42,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,5.903771877,0
7,3,43,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,22.9947648,5
