Sub,Block,Trial,SoundCategory,DistractorSound,SoundLabel,SoundID,SoundAccuracy,soundRT,AversiveRating
10,0,1,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,8.112903833,3
10,0,2,NA,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,6.341267109,3
10,1,1,Non_oral_nasal,dribbling_ball3.wav,DRIBBLING BALL,DRIBBLING BALL,1,3.460243225,2
10,1,2,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,7.688045979,4
10,1,3,Oral_nasal,clearing_throat4.wav,CLEARING THROAT,CLEARING THROAT,1,8.441068172,2
10,1,4,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,4.361023903,2
10,1,5,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,4.172234058,4
10,1,6,Oral_nasal,chewing_gum3.wav,CHEWING GUM,CHEWING GUM,1,9.705125093,3
10,1,7,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,7.073194981,1
10,1,8,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.488974094,0
10,1,9,Quiet,NA,NO SOUND,NO SOUND,1,1.894866943,0
10,1,10,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,3.824047089,2
10,1,11,Oral_nasal,clearing_throat2.wav,CLEARING THROAT,CLEARING THROAT,1,4.0601511,3
10,1,12,Non_oral_nasal,flipping_paper2.wav,FLIPPING PAPER,FLIPPING PAPER,1,4.556791067,1
10,1,13,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,4.258991957,0
10,1,14,Oral_nasal,clearing_throat1.wav,CLEARING THROAT,CLEARING THROAT,1,2.506072044,0
10,1,15,Quiet,NA,NO SOUND,NO SOUND,1,5.78915906,2
10,1,16,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,3.537187815,0
10,1,17,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,5.406316042,4
10,1,18,Oral_nasal,breathing1.wav,BREATHING,BREATHING,1,3.289521933,3
10,1,19,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,5.441456318,3
10,1,20,Quiet,NA,NO SOUND,NO SOUND,1,2.023472786,0
10,2,21,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,5.186196804,2
10,2,22,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,12.34523487,0
10,2,23,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.805444002,2
10,2,24,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,4.872345924,1
10,2,25,Non_oral_nasal,typing1.wav,TYPING,TYPING,1,3.413710117,0
10,2,26,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,3.566871643,0
10,2,27,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,1.925698996,0
10,2,28,Non_oral_nasal,dribbling_ball4.wav,DRIBBLING BALL,DRIBBLING BALL,1,2.390291929,0
10,2,29,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,4.390884876,3
10,2,30,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,3.154518127,4
10,2,31,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,5.888788939,5
10,2,32,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,5.253144026,3
10,2,33,Non_oral_nasal,dribbling_ball2.wav,DRIBBLING BALL,DRIBBLING BALL,1,5.089963913,0
10,2,34,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,4.490302324,4
10,2,35,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.543081999,3
10,2,36,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,3.042493105,4
10,2,37,Quiet,NA,NO SOUND,NO SOUND,1,2.057023048,0
10,2,38,Non_oral_nasal,dribbling_ball1.wav,DRIBBLING BALL,DRIBBLING BALL,1,5.926384211,0
10,2,39,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,3.055588245,0
10,2,40,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,2.947651148,4
10,3,41,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.878116131,3
10,3,42,Non_oral_nasal,typing2.wav,TYPING,TYPING,1,3.225000143,2
10,3,43,Oral_nasal,chewing_gum4.wav,CHEWING GUM,CHEWING GUM,1,4.240995884,4
10,3,44,Non_oral_nasal,flipping_paper3.wav,FLIPPING PAPER,FLIPPING PAPER,1,5.477650881,0
10,3,45,Non_oral_nasal,cutting_food2.wav,CUTTING FOOD,CUTTING FOOD,1,3.339035988,0
10,3,46,Oral_nasal,clearing_throat2.wav,CLEARING THROAT,CLEARING THROAT,1,2.454341173,2
10,3,47,Non_oral_nasal,dribbling_ball1.wav,DRIBBLING BALL,DRIBBLING BALL,1,2.819531918,0
10,3,48,Oral_nasal,breathing1.wav,BREATHING,BREATHING,1,3.192108154,4
10,3,49,Oral_nasal,swallowing4.wav,SWALLOWING,SWALLOWING,1,2.927011967,4
10,3,50,Quiet,NA,NO SOUND,NO SOUND,1,2.439684153,0
10,3,51,Oral_nasal,breathing3.wav,BREATHING,BREATHING,1,3.107000828,3
10,3,52,Non_oral_nasal,typing4.wav,TYPING,TYPING,1,3.932028055,4
10,3,53,Quiet,NA,NO SOUND,NO SOUND,1,3.791908026,0
10,3,54,Non_oral_nasal,dribbling_ball4.wav,DRIBBLING BALL,DRIBBLING BALL,1,2.40466404,0
10,3,55,Oral_nasal,chewing_gum2.wav,CHEWING GUM,CHEWING GUM,1,3.05542016,2
10,3,56,Non_oral_nasal,flipping_paper4.wav,FLIPPING PAPER,FLIPPING PAPER,1,4.918938875,1
10,3,57,Non_oral_nasal,flipping_paper1.wav,FLIPPING PAPER,FLIPPING PAPER,1,2.223863125,0
10,3,58,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,4.321701288,0
10,3,59,Non_oral_nasal,cutting_food3.wav,CUTTING FOOD,CUTTING FOOD,1,4.246229887,0
10,3,60,Non_oral_nasal,cutting_food4.wav,CUTTING FOOD,CUTTING FOOD,1,3.571459293,2
10,4,61,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,2.061388016,0
10,4,62,Non_oral_nasal,cutting_food1.wav,CUTTING FOOD,CUTTING FOOD,1,3.678193092,2
10,4,63,Oral_nasal,breathing4.wav,BREATHING,BREATHING,1,3.451645136,4
10,4,64,Non_oral_nasal,flipping_paper2.wav,FLIPPING PAPER,FLIPPING PAPER,1,3.770933867,1
10,4,65,White_noise,PinkNoise.wav,WHITE NOISE,WHITE NOISE,1,3.779218912,0
10,4,66,Non_oral_nasal,typing1.wav,TYPING,TYPING,1,3.300755024,3
10,4,67,Non_oral_nasal,typing3.wav,TYPING,TYPING,1,5.504771233,0
10,4,68,Quiet,NA,NO SOUND,NO SOUND,1,2.388870955,0
10,4,69,Oral_nasal,swallowing2.wav,SWALLOWING,SWALLOWING,1,3.141902685,5
10,4,70,Oral_nasal,chewing_gum1.wav,CHEWING GUM,CHEWING GUM,1,3.005668163,5
10,4,71,Oral_nasal,chewing_gum3.wav,CHEWING GUM,CHEWING GUM,1,3.105552912,2
10,4,72,Oral_nasal,clearing_throat3.wav,CLEARING THROAT,CLEARING THROAT,1,1.971534729,0
10,4,73,Oral_nasal,breathing2.wav,BREATHING,BREATHING,1,2.688297033,4
10,4,74,Non_oral_nasal,dribbling_ball2.wav,DRIBBLING BALL,DRIBBLING BALL,1,2.603277206,0
10,4,75,Oral_nasal,clearing_throat1.wav,CLEARING THROAT,CLEARING THROAT,1,2.955807924,1
10,4,76,Oral_nasal,swallowing1.wav,SWALLOWING,SWALLOWING,1,6.141540051,5
10,4,77,Quiet,NA,NO SOUND,NO SOUND,1,2.419795752,3
10,4,78,Oral_nasal,swallowing3.wav,SWALLOWING,SWALLOWING,1,4.851128817,4
